game_id,start_time,winner,move_count,end_time,duration
0,1701249888.694154,X,7,1701249892.670445,3.9762909412384033
0,1701249996.472703,X,7,1701250002.430835,5.958132028579712
1,1701250002.4311838,X,7,1701250005.954803,3.5236191749572754
0,1701250123.012059,X,9,1701250155.229766,32.21770691871643
1,1701250155.232248,O,8,1701250159.1183538,3.88610577583313
2,1701250159.1191292,X,9,1701250164.081849,4.962719917297363
3,1701250164.082297,X,7,1701250166.307866,2.225569009780884
4,1701250166.308703,O,8,1701250174.582865,8.27416205406189
5,1701250174.583306,X,5,1701250176.337449,1.7541429996490479
